,Name,SSN,Age,Job,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome
243,Silvia Lucarelli-Infantino,CMNNNL26B49G973C,33,Politician's assistant,6,119,50,22,176,27.1,1.318,1
244,Zaira Ficino,SRDMRA29B19I494X,29,"Research officer, political party",2,146,76,35,194,38.2,0.329,0
245,Daria Galiazzo,ZMRNNE65T66E491B,49,Patent examiner,9,184,85,15,0,30.0,1.213,1
246,Nedda Ruffini,MRLMCL91E59L723F,41,Electronics engineer,10,122,68,0,0,31.2,0.258,0
247,Luigina Agostini,NCCSIA36C14A618X,23,Ecologist,0,165,90,33,680,52.3,0.427,0
248,Giuseppina Vecoli-Bellocchio,SPDRBT76T50E259S,34,Customer service manager,9,124,70,33,402,35.4,0.282,0
249,Stella Maderna,BTTLSU49S27C984J,23,"Designer, furniture",1,111,86,19,0,30.1,0.143,0
250,Dina Notarbartolo,DGLCRL65T05D824O,42,"Engineer, petroleum",9,106,52,0,0,31.2,0.38,0
251,Clelia Corcos,NVIGFR09A42L434S,27,Physiotherapist,2,129,84,0,0,28.0,0.284,0
252,Gianna Cesaroni,DLBLCN65D01D694G,24,Learning mentor,2,90,80,14,55,24.4,0.249,0
253,Irma Contrafatto,MCCMTD54B26C155E,25,"Merchandiser, retail",0,86,68,32,0,35.8,0.238,0
254,Cristina Parmitano,VLIBRL71S66C329N,44,Clinical molecular geneticist,12,92,62,7,258,27.6,0.926,1
255,Victoria Lombardi,TSCDLS19S21F864U,21,Solicitor,1,113,64,35,0,33.6,0.543,1
256,Renata Gasperi,GRZRGR37L56B740J,30,Neurosurgeon,3,111,56,39,0,30.1,0.557,0
257,Gabriella Spinola,NNLDLS10D03C730V,25,Forensic psychologist,2,114,68,22,0,28.7,0.092,0
258,Antonina Gargallo-Lucarelli,BRTNTL70R28B099R,24,Ambulance person,1,193,50,16,375,25.9,0.655,0
259,Michela Contarini,TSCBTC60T12L124H,51,Glass blower/designer,11,155,76,28,150,33.3,1.353,1
260,Rosa Acerbi,MRLRCC81S61H284A,34,"Clinical scientist, histocompatibility and immunogenetics",3,191,68,15,130,30.9,0.299,0
261,Laura Piccio,CRSGTN25E48C321Q,27,Clinical molecular geneticist,3,141,0,0,0,30.0,0.761,1
262,Cassandra Caboto,PSTDNI96R08I732X,24,Aid worker,4,95,70,32,0,32.1,0.612,0
263,Serafina Canali-Armellini,VNVLME45B56D348D,63,Horticultural consultant,3,142,80,15,0,32.4,0.2,0
264,Claudia Tozzi,GLTNGN21A27C407F,35,Quantity surveyor,4,123,62,0,0,32.0,0.226,1
265,Alessia Delle,BCLLND84T24B857A,43,Physiotherapist,5,96,74,18,67,33.6,0.997,0
266,Carolina Veneziano-Mazzini,PSSNTL10T19A660Z,25,Film/video editor,0,138,0,0,0,36.3,0.933,1
267,Nedda Pedroni,NGLRML98A61F808Z,24,"Lecturer, further education",2,128,64,42,0,40.0,1.101,0
268,Irma Condoleo,BRGFDG29E54F852R,21,Chief Marketing Officer,0,102,52,0,0,25.1,0.078,0
269,Priscilla Grasso,SGLDRD38P67E239G,28,Immunologist,2,146,0,0,0,27.5,0.24,1
270,Bettina Raurica,CLGNNS12C07M349U,38,Immunologist,10,101,86,37,0,45.6,1.136,1
271,Gabriella Comboni,PROLNA73D05G336D,21,"Administrator, sports",2,108,62,32,56,25.2,0.128,0
272,Eugenia Letta,TRPLBT72B45F221I,40,Advertising art director,3,122,78,0,0,23.0,0.254,0
273,Nadia Aporti,TRMGSR13M55G523V,21,Psychotherapist,1,71,78,50,45,33.2,0.422,0
274,Clelia Gangemi,NPLLSN61A20D494V,52,Banker,13,106,70,0,0,34.2,0.251,0
275,Marisa Chindamo,GDNRFL63R60F847B,25,"Producer, radio",2,100,70,52,57,40.5,0.677,0
276,Melina Baresi,SCRSNT07C63B883K,29,Local government officer,7,106,60,24,0,26.5,0.296,1
277,Lina Boiardo,ZMPRNT12L53F620F,23,"Psychotherapist, dance movement",0,104,64,23,116,27.8,0.454,0
278,Marina Vespa,BRNGNN95E22C639D,57,Clothing/textile technologist,5,114,74,0,0,24.9,0.744,0
279,Patrizia Pertile,DSSCLD33D09I830L,22,English as a second language teacher,2,108,62,10,278,25.3,0.881,0
280,Adelasia Fieramosca-Palazzo,SCTGNT22L51H938J,28,Art therapist,0,146,70,0,0,37.9,0.334,1
281,Barbara Morandi,MRLRSN24R17A186J,39,"Scientist, research (maths)",10,129,76,28,122,35.9,0.28,0
282,Bettina Santorio-Matteotti,BRTNTT46P28A618V,37,Medical secretary,7,133,88,15,155,32.4,0.262,0
283,Dott. Liana Agazzi,MRNVNN25A17D760J,47,Television floor manager,7,161,86,0,0,30.4,0.165,1
284,Giorgia Gargallo,GRDLRI64P14G593D,52,Television floor manager,2,108,80,0,0,27.0,0.259,1
285,Bettina Ruggieri,MNCMLI62T52M363D,51,Marketing executive,7,136,74,26,135,26.0,0.647,0
286,Veronica Morrocco,BGTZRA03D24G954M,34,Dramatherapist,5,155,84,44,545,38.7,0.619,0
287,Adelasia Poerio,MLDMLN01R21C634C,29,Drilling engineer,1,119,86,39,220,45.6,0.808,1
288,Liana Binaghi,LCCLGO90M26G909Z,26,Museum/gallery conservator,4,96,56,17,49,20.8,0.34,0
289,Pierina Barillaro-Chigi,LGHLRA98S02H775G,33,Pension scheme manager,5,108,72,43,75,36.1,0.263,0
290,Gianna Nievo,PRTCPN31P64H858Y,21,Research scientist (maths),0,78,88,29,40,36.9,0.434,0
291,Diana Bianchini-Barese,TRMRNL81S05L577I,25,Garment/textile technologist,0,107,62,30,74,36.6,0.757,1
292,Dina Caironi,BBGGRN65D51I316C,31,Drilling engineer,2,128,78,37,182,43.3,1.224,1
293,Romina Pigafetta,DLLLNI18T13H068U,24,Aeronautical engineer,1,128,48,45,194,40.5,0.613,1
294,Stefania Rastelli,SQRLRA67M21L454B,65,"Copywriter, advertising",0,161,50,0,0,21.9,0.254,0
295,Rosina Morgagni,GGLFRC62P64L321R,28,Chartered legal executive (England and Wales),6,151,62,31,120,35.5,0.692,0
296,Aria Coppola,NTRPRL11A67F721A,29,Network engineer,2,146,70,38,360,28.0,0.337,1
297,Filippa Rosmini,CPNVLT87M19H325X,24,Probation officer,0,126,84,29,215,30.7,0.52,0
298,Griselda Crespi,RGNGCB16R66L022W,46,Energy manager,14,100,78,25,184,36.6,0.412,1
299,Stella Pausini,RSPRNT16D65M375A,58,Telecommunications researcher,8,112,72,0,0,23.6,0.84,0
300,Giuseppina Impastato-Panatta,MCHCRL15T62B729Z,30,Research scientist (maths),0,167,0,0,0,32.3,0.839,1
301,Sig.ra Donatella Garibaldi,TRPLLR73P26D287J,25,Chief Strategy Officer,2,144,58,33,135,31.6,0.422,1
302,Licia Casarin,LFNSMT16B25A485F,35,Herbalist,5,77,82,41,42,35.8,0.156,0
303,Nicoletta Luria,RSSVNS31C26F113K,28,"Administrator, sports",5,115,98,0,0,52.9,0.209,1
304,Germana Salvini,SBBDRN56D18C699A,37,Clothing/textile technologist,3,150,76,0,0,21.0,0.207,0
305,Maria Cuda,MRTLRT32L13C512Z,29,Hydrogeologist,2,120,76,37,105,39.7,0.215,0
306,Flora Pacetti,GGLGNC61S64H077Y,47,Sales promotion account executive,10,161,68,23,132,25.5,0.326,1
307,Sig.ra Simonetta Impastato,TRPVEA56B11B227F,21,"Buyer, retail",0,137,68,14,148,24.8,0.143,0
308,Pierina Gottardi,CVLHGU53R68C503N,25,Production engineer,0,128,68,19,180,30.5,1.391,1
309,Adriana Rizzo,SRMLZR62C52I799D,30,Investment analyst,2,124,68,28,205,32.9,0.875,1
310,Berenice Travaglia,GNSDRN73D22F313O,41,Youth worker,6,80,66,30,0,26.2,0.313,0
311,Eleanora Foconi,VLMRMN51E13A742O,22,Land,0,106,70,37,148,39.4,0.605,0
312,Carla Manunta,PCCGRL56R14G275Z,27,Sub,2,155,74,17,96,26.6,0.433,1
313,Gemma Parpinel,FTTBRC78S27D984Y,25,Proofreader,3,113,50,10,85,29.5,0.626,0
314,Gemma Piovani-Ritacca,DBSLRN23L07E837U,43,Biomedical engineer,7,109,80,31,0,35.9,1.127,1
315,Monica Garzoni,CDRBTC46B25M189A,26,Accounting technician,2,112,68,22,94,34.1,0.315,0
316,Bianca Gentileschi-Fo,BLDMLA90P07G264X,30,"Lecturer, further education",3,99,80,11,64,19.3,0.284,0
317,Dott. Rosina Visconti,SSLMRN28B05G947L,29,Social worker,3,182,74,0,0,30.5,0.345,1
318,Sole Guidone,RNDLRA26S12I704G,28,Animator,3,115,66,39,140,38.1,0.15,0
319,Dott. Lina Monti,MRTGSN04P63A798Q,59,Community pharmacist,6,194,78,0,0,23.5,0.129,1
320,Sig.ra Marisa Bocelli,VVNGNN74T58E145O,31,"Teacher, primary school",4,129,60,12,231,27.5,0.527,0
321,Luigina Malpighi,NTRNNT07T20H929T,25,"Conservator, museum/gallery",3,112,74,30,0,31.6,0.197,1
322,Angelina Zacco,CPLGVN71E04H427U,36,Chief Operating Officer,0,124,70,20,0,27.4,0.254,1
323,Daria Polizzi,CNCGVN35P18F727Y,43,Radiation protection practitioner,13,152,90,33,29,26.8,0.731,1
324,Silvia Ramazzotti,PGLFBA39L27L883Y,21,IT trainer,2,112,75,32,0,35.7,0.148,0
325,Sig.ra Victoria Carullo,VDNGNT26B41L202K,24,"Development worker, community",1,157,72,21,168,25.6,0.123,0
326,Michela Ravaglioli,PRNDNT01H55A647Z,30,Games developer,1,122,64,32,156,35.1,0.692,1
327,Sonia Schiavone,GCCMDA75L55I256O,37,Museum/gallery exhibitions officer,10,179,70,0,0,35.1,0.2,0
328,Giuseppina Turrini,DRSMRL38S21H101Z,23,Archaeologist,2,102,86,36,120,45.5,0.127,1
329,Romina Gabba-Leone,SGSVNL57H01D465U,37,"Therapist, horticultural",6,105,70,32,68,30.8,0.122,0
330,Gabriella Costalonga,NGLLBC68A53I937Y,46,Farm manager,8,118,72,19,0,23.1,1.476,0
331,Bianca Piazzi,CBBVRL48R44A629S,25,Veterinary surgeon,2,87,58,16,52,32.7,0.166,0
332,Nina Bompiani,SLVGML63B55G628Q,41,Garment/textile technologist,1,180,0,0,0,43.3,0.282,1
333,Melania Righi-Poerio,PRTRZO79H51F146E,44,"Clinical scientist, histocompatibility and immunogenetics",12,106,80,0,0,23.6,0.137,0
334,Paola Tamburini,GRRCRD11A62A621F,22,Arts administrator,1,95,60,18,58,23.9,0.26,0
335,Bianca Tartini,BSDLDC01R43I034J,26,Public relations officer,0,165,76,43,255,47.9,0.259,0
336,Irma Iacobucci,SNNBNT39A53H498C,44,Sales executive,0,117,0,0,0,33.8,0.932,0
337,Sig.ra Isabella Simeoni,DRGDRN34S26D537J,44,"Surveyor, rural practice",5,115,76,0,0,31.2,0.343,1
338,Elena Battelli-Littizzetto,MTATLC69M61H130S,33,Amenity horticulturist,9,152,78,34,171,34.2,0.893,1
339,Sylvia Nitto-Ferraris,MRTVNN76H26L123Y,41,"Administrator, sports",7,178,84,0,0,39.9,0.331,1
340,Sophia Cilibrasi,FGNSTN82T14G102K,22,Conference centre manager,1,130,70,13,105,25.9,0.472,0
341,Donna Frescobaldi,MNTTNN42P62E632T,36,Seismic interpreter,1,95,74,21,73,25.9,0.673,0
342,Fabia Fattori,LNTFDC57L27E126F,22,Sports development officer,1,0,68,35,0,32.0,0.389,0
343,Dott. Federica Zola,MRCBTC68S25A810Y,33,Geographical information systems officer,5,122,86,0,0,34.7,0.29,0
344,Cristina Bevilacqua,MNLMRL72E60B126P,57,Musician,8,95,72,0,0,36.8,0.485,0
345,Stella Taliercio-Segrè,GNTRFL76D45B506D,49,"Engineer, materials",8,126,88,36,108,38.5,0.349,0
346,Erika Canova-Ferrara,PPFTRT86A61E040P,22,"Scientist, clinical (histocompatibility and immunogenetics)",1,139,46,19,83,28.7,0.654,0
347,Dott. Antonina Caffarelli,TRVFDC25R48D925F,23,Immigration officer,3,116,0,0,0,23.5,0.187,0
348,Sig.ra Sole Fermi,GDTPRG58D48E518T,26,Herbalist,3,99,62,19,74,21.8,0.279,0
349,Beatrice Foletti,CSRNNT39S26E788U,37,Advice worker,5,0,80,32,0,41.0,0.346,1
350,Giulia Panatta-Biagiotti,MRCCHR77T16C819R,29,Sport and exercise psychologist,4,92,80,0,0,42.2,0.237,0
351,Dott. Tonia Tafuri,DNZNNL82E60C595F,30,"Librarian, public",4,137,84,0,0,31.2,0.252,0
352,Dott. Iolanda Coardi,BBGGDU70D63F144A,46,Sports administrator,3,61,82,28,0,34.4,0.243,0
353,Zaira Mazzeo,BNGLDI38H13L177Z,24,Quality manager,1,90,62,12,43,27.2,0.58,0
354,Eva Serao,MLNVRL45M51E264U,21,Community education officer,3,90,78,0,0,42.7,0.559,0
355,Loredana Bosio,GTTFDC36C23B580I,49,Electrical engineer,9,165,88,0,0,30.4,0.302,1
356,Renata Cilea-Ferrara,GNNVEA03A26D374W,28,Insurance account manager,1,125,50,40,167,33.3,0.962,1
357,Isa Trebbi,MGHLVI19R62L278K,44,Scientific laboratory technician,13,129,0,30,0,39.9,0.569,1
358,Sig.ra Adelasia Saraceno,CLBNNZ77T02A463J,48,Call centre manager,12,88,74,40,54,35.3,0.378,0
359,Valeria Mozart,BGTGMM83A07C757H,29,Government social research officer,1,196,76,36,249,36.5,0.875,1
360,Sig.ra Monica Mercalli,SPSLSN95C59D835O,29,"Geneticist, molecular",5,189,64,33,325,31.2,0.583,1
361,Tiziana Necci-Caironi,MLPLND17T09B527L,63,Special effects artist,5,158,70,0,0,29.8,0.207,0
362,Daria Zito,MLNFRN78C02I778F,65,Television/film/video producer,5,103,108,37,0,39.2,0.305,0
363,Lolita Polesel,BSSLLT18A03F136Z,67,Technical brewer,4,146,78,0,0,38.5,0.52,1
364,Antonia Tencalla,BRNMTD70H25F219R,30,IT sales professional,4,147,74,25,293,34.9,0.385,0
365,Valentina Pucci,GBBPMN90C62B427Y,30,"Sales professional, IT",5,99,54,28,83,34.0,0.499,0
366,Dott. Elisa Ortese,SVRJCP40M54E649Z,29,Database administrator,6,124,72,0,0,27.6,0.368,1
367,Loredana Silvestri,TGLVRN54H03L165H,21,Technical sales engineer,0,101,64,17,0,21.0,0.252,0
368,Maria Satriani,SCHRMD44B61H140W,22,Public relations officer,3,81,86,16,66,27.5,0.306,0
369,Annamaria Argentero,NGNPTZ15P24C329V,45,Ambulance person,1,133,102,28,140,32.8,0.234,1
370,Francesca Fanucci-Cilea,LRNSRS96C54I551B,25,Health and safety inspector,3,173,82,48,465,38.4,2.137,1
371,Gabriella Rosmini,NGLPRN99A50H858X,21,Financial risk analyst,0,118,64,23,89,0.0,1.731,0
372,Adele Beccheria,PSRRST77L64I088A,21,Field trials officer,0,84,64,22,66,35.8,0.545,0
373,Lucrezia Bertolucci,PTRLBT79A55B537J,25,Technical brewer,2,105,58,40,94,34.9,0.225,0
374,Carolina Interiano,RMNGNE58A11D869M,28,IT consultant,2,122,52,43,158,36.2,0.816,0
375,Marina Mantegna,DSDTTN18B04D318V,58,Biomedical scientist,12,140,82,43,325,39.2,0.528,1
376,Greca Vendetti,TRVLSU09S10B829V,22,"Therapist, sports",0,98,82,15,84,25.2,0.299,0
377,Melina Gargallo-Scialpi,RNLMLE50R51H781Z,22,Land,1,87,60,37,75,37.2,0.509,0
378,Erika Parisi,FOSTN19A06D828F,32,Dispensing optician,4,156,75,0,0,48.3,0.238,1
379,Elena Pertini,NTNNGN86C10L470E,35,Medical laboratory scientific officer,0,93,100,39,72,43.4,1.021,0
380,Sig.ra Paulina Pezzali,PTRLRT05T01M158U,24,Medical sales representative,1,107,72,30,82,30.8,0.821,0
381,Angelina Prodi,LGNSLT35R54B203O,22,"Education officer, community",0,105,68,22,0,20.0,0.236,0
382,Renata Guglielmi,SMNRLD87C46G773Z,21,Dramatherapist,1,109,60,8,182,25.4,0.947,0
383,Giorgia Ossola,TNCVLR56M66E266G,25,"Engineer, building services",1,90,62,18,59,25.1,1.268,0
384,Antonia Moretti,PDRLNR08L20B057Y,25,Senior tax professional/tax inspector,1,125,70,24,110,24.3,0.221,0
385,Adriana Vecellio-Alfieri,VNTNTN08B08E892M,24,Geoscientist,1,119,54,13,50,22.3,0.205,0
386,Sig.ra Vanessa Pulci,LMGLRN22R64F710N,35,"Editor, film/video",5,116,74,29,0,32.3,0.66,1
387,Dott. Adelasia Mazzanti,PGNDLM84M62D673C,45,Office manager,8,105,100,36,0,43.3,0.239,1
388,Flora Tarantini,TRNMNL11E61C158G,58,Archaeologist,5,144,82,26,285,32.0,0.452,1
389,Tatiana Lopresti,LVTNCL85L56A045E,28,Clothing/textile technologist,3,100,68,23,81,31.6,0.949,0
390,Dott. Margherita Abbagnale,SGSRLD17D65I511F,42,Meteorologist,1,100,66,29,196,32.0,0.444,0
391,Giada Peruzzi,GLNLNE61T22I062I,27,Animator,5,166,76,0,0,45.7,0.34,1
392,Ida Semitecolo,TSLCSR63A53H063P,21,"Biochemist, clinical",1,131,64,14,415,23.7,0.389,0
393,Sig.ra Emma Ruggeri,FBNBRT43L54E968M,37,Building control surveyor,4,116,72,12,87,22.1,0.463,0
394,Sig.ra Antonella Toscani,MNTVIO38L41F496E,31,Printmaker,4,158,78,0,0,32.9,0.803,1
395,Fernanda Federico-Gargallo,GGLLRZ99R45B042F,25,Ecologist,2,127,58,24,275,27.7,1.6,0
396,Giuliana Modigliani,QSMGSI97E56H055V,39,"Scientist, research (life sciences)",3,96,56,34,115,24.7,0.944,0
397,Antonia Pasqua,BSSMRA23D09I185L,22,Gaffer,0,131,66,40,0,34.3,0.196,1
398,Beatrice Boaga,MNCGMR34B47D203U,25,Analytical chemist,3,82,70,0,0,21.1,0.389,0
399,Serena Taccola,SCRPRI58H42D600P,25,"Copywriter, advertising",3,193,70,31,0,34.9,0.241,1
400,Amalia Turchetta,CPPGRM60L44D100H,31,Chief Executive Officer,4,95,64,0,0,32.0,0.161,1
401,Maria Pagnotto,GNZDNL36A42H491D,55,"Scientist, research (maths)",6,137,61,0,0,24.2,0.151,0
402,Nina Sermonti,SNTLLR44T08C496W,35,Probation officer,5,136,84,41,88,35.0,0.286,1
403,Maria Parmitano-Fogazzaro,GROCLL63P14I233K,38,Patent examiner,9,72,78,25,0,31.6,0.28,0
404,Cassandra Pennetta,SCHLCN00M08A084M,41,Television production assistant,5,168,64,0,0,32.9,0.135,1
405,Luciana Gregorio,TPLMCL72A49A810X,26,Ophthalmologist,2,123,48,32,165,42.1,0.52,0
406,Dott. Adriana Modugno,GRSSLV52T44B872F,46,Forensic psychologist,4,115,72,0,0,28.9,0.376,1
407,Laura Zichichi,GNNLSN73E53L638R,25,Facilities manager,0,101,62,0,0,21.9,0.336,0
408,Carolina Ficino,DNLNTN61E19G854U,39,Fitness centre manager,8,197,74,0,0,25.9,1.191,1
409,Sig.ra Luigina Tafuri,VLMDRT74H50F385Q,28,Arboriculturist,1,172,68,49,579,42.4,0.702,1
410,Clelia Venditti,SCRMLA39S11E480L,28,Adult nurse,6,102,90,39,0,35.7,0.674,0
411,Silvia Asmundo,SRNFDL09H50D805K,25,Music tutor,1,112,72,30,176,34.4,0.528,0
412,Dott. Rossana Duse,VGRSIA00D08I646A,22,Surgeon,1,143,84,23,310,42.4,1.076,0
413,Antonia Mantegna,GRMMRT13P05I718X,21,"Therapist, music",1,143,74,22,61,26.2,0.256,0
414,Melissa Squarcione,BSDGLI04L42C903N,21,Radiation protection practitioner,0,138,60,35,167,34.6,0.534,1
415,Giovanna Emanuelli-Bonino,FRNFBZ27C43G793R,22,Research scientist (life sciences),3,173,84,33,474,35.7,0.258,1
416,Ilaria Moretti,TRCGRL78R12G359J,22,"Therapist, speech and language",1,97,68,21,0,27.2,1.095,0
417,Giulia Donatoni-Pirandello,CSLGNN57B17F209F,37,Television production assistant,4,144,82,32,0,38.5,0.554,1
418,Sig.ra Valeria Valmarana,TFRLRT81S10C770W,27,Broadcast journalist,1,83,68,0,0,18.2,0.624,0
419,Roberta Pisani,BRBCLC91R57F023O,28,Midwife,3,129,64,29,115,26.4,0.219,1
420,Sig.ra Gabriella Poerio,NDANTN13E18A765C,26,Publishing rights manager,1,119,88,41,170,45.3,0.507,0
421,Sig.ra Livia Briccialdi,TRNMRN67A52G532O,21,Art therapist,2,94,68,18,76,26.0,0.561,0
422,Renata Sgalambro,PLZGLN94P06B097B,21,Wellsite geologist,0,102,64,46,78,40.6,0.496,0
423,Tonia Molesini,MJRPLA83L53A707W,21,"Psychologist, counselling",2,115,64,22,0,30.8,0.421,0
424,Clelia Rizzo,FBBMRN84B28E147M,36,Acupuncturist,8,151,78,32,210,42.9,0.516,1
425,Giuliana Romano-Dibiasi,CHPFLV02S58B648T,31,Writer,4,184,78,39,277,37.0,0.264,1
426,Ida Barberini-Jilani,SCDMCL91M57E085H,25,Health and safety adviser,0,94,0,0,0,0.0,0.256,0
427,Ilaria Antonacci,MRZFRD17C42H152I,38,Occupational hygienist,1,181,64,30,180,34.1,0.328,1
428,Zaira Armellini,PLSRNZ71D62B378C,26,Production manager,0,135,94,46,145,40.6,0.284,0
429,Dott. Elisa Niggli,BRMLLT58R04E056C,43,Tourist information centre manager,1,95,82,25,180,35.0,0.233,1
430,Camilla Calgari,PNNPPZ54L52A281T,23,Town planner,2,99,0,0,0,22.2,0.108,0
431,Giuseppina Zamengo,NNCPLA54M53B808N,38,Commercial horticulturist,3,89,74,16,85,30.4,0.551,0
432,Cecilia Ossola-Juvara,NTNGML45M65F191D,22,Patent examiner,1,80,74,11,60,30.0,0.527,0
433,Livia Villarosa,BRCLVI63R18F809M,29,Interpreter,2,139,75,0,0,25.6,0.167,0
434,Maura Pergolesi-Smirnoff,CMLHGU80T48C376U,36,"Sales professional, IT",1,90,68,8,0,24.5,1.138,0
435,Sylvia Cicilia,FRRNNS79C20F991C,29,"Scientist, marine",0,141,0,0,0,42.4,0.205,1
436,Rosa Buonauro,GSSGLS43E54D346H,41,Special educational needs teacher,12,140,85,33,0,37.4,0.244,0
437,Stefania Marino-Sobrero,NGRGMR45P61D645D,28,Government social research officer,5,147,75,0,0,29.9,0.434,0
438,Francesca Govoni,SGSNCL95L45I040Q,21,"Surveyor, hydrographic",1,97,70,15,0,18.2,0.147,0
439,Luciana Argurio,BRZNPN37A46G712C,31,Adult guidance worker,6,107,88,0,0,36.8,0.727,0
440,Giorgia Muratori-Govoni,CNTLLN38E27L134W,41,Seismic interpreter,0,189,104,25,0,34.3,0.435,1
441,Pierina Pulci,SBLDNN60D17C199V,22,"Nurse, adult",2,83,66,23,50,32.2,0.497,0
442,Antonella Cagnin-Magnani,SCTDLA88M09B780Y,24,Gaffer,4,117,64,27,120,33.2,0.23,0
443,Marissa Canova,PGFDRN10M02B223G,33,"Geologist, engineering",8,108,70,0,0,30.5,0.955,1
444,Ludovica Piccio-Tron,BCCLGU05P64B778R,30,Higher education lecturer,4,117,62,12,0,29.7,0.38,1
445,Luisa Valentino,TRVMRS08P21G886L,25,Claims inspector/assessor,0,180,78,63,14,59.4,2.42,1
446,Melina Parpinel-Vergassola,RRCCRN02E25B980H,28,Research scientist (medical),1,100,72,12,70,25.3,0.658,0
447,Vanessa Morgagni,LNCMRC19R45F310O,26,"Radiographer, therapeutic",0,95,80,45,92,36.5,0.33,0
448,Marta Tozzo,PNNMCL37E54L173W,22,Waste management officer,0,104,64,37,64,33.6,0.51,1
449,Cassandra Santi,TRNMLN69H20A200A,26,Claims inspector/assessor,0,120,74,18,63,30.5,0.285,0
450,Dott. Elvira Rapisardi,MCNRND82L48I215Z,23,Fisheries officer,1,82,64,13,95,21.2,0.415,0
451,Rita Gangemi,CNVNNR19B13E707D,23,Sub,2,134,70,0,0,28.9,0.542,1
452,Federica Treccani,FLPLRN88S59C845G,25,Risk analyst,0,91,68,32,210,39.9,0.381,0
453,Tiziana Palombi,RROSRN84C25D714S,72,Conference centre manager,2,119,0,0,0,19.6,0.832,0
454,Dott. Alessandra Pagliaro,TCCNTT78B15D016W,24,Homeopath,2,100,54,28,105,37.8,0.498,0
455,Liliana Panatta,FRCMCA04R49L027R,38,Hotel manager,14,175,62,30,0,33.6,0.212,1
456,Giorgia Rosiello-Farinelli,ZPPLCN21A20E716N,62,Systems developer,1,135,54,0,0,26.7,0.687,0
457,Dott. Marcella Rosmini,CRSVRN34S19I224P,24,Art gallery manager,5,86,68,28,71,30.2,0.364,0
458,Natalia Badoer,MCCMLS28C02B741A,51,Travel agency manager,10,148,84,48,237,37.6,1.001,1
459,Mercedes Tolentino-Bonanno,TMSLRT95B17C656B,81,"Journalist, magazine",9,134,74,33,60,25.9,0.46,0
460,Virginia Bixio,BGGFRN04A04B398U,48,Osteopath,9,120,72,22,56,20.8,0.733,0
461,Tiziana Bompiani,VRGRMN16B22I891J,26,Clinical psychologist,1,71,62,0,0,21.8,0.416,0
462,Diana Giolitti,TRNFDC44D56B709O,39,Contracting civil engineer,8,74,70,40,49,35.3,0.705,0
463,Isa Schiavone,PSLMRA56S28I938S,37,Field trials officer,5,88,78,30,0,27.6,0.258,0
464,Dott. Federica Tafuri,MRZPRD57M68D738H,34,Estate manager/land agent,10,115,98,0,0,24.0,1.022,0
465,Serena Comolli,CSRPNI25L10F067P,21,Government social research officer,0,124,56,13,105,21.8,0.452,0
466,Antonina Romagnoli,MRNGCT08E58E994O,22,"Psychologist, educational",0,74,52,10,36,27.8,0.269,0
467,Alessandra Faranda,FRRCPN28L62C337J,25,Health and safety adviser,0,97,64,36,100,36.8,0.6,0
468,Elvira Granatelli,GNNLZR80S48L393F,38,"Education officer, museum",8,120,0,0,0,30.0,0.183,1
469,Mercedes Chindamo,NTNTMT87L48G888M,27,"Surveyor, commercial/residential",6,154,78,41,140,46.1,0.571,0
470,Dott. Giorgia Barsanti,SLVNZE68T62L570X,28,"Therapist, music",1,144,82,40,0,41.3,0.607,0
471,Dott. Rosalia Schiavone,GBRMRA53C14F262S,22,Commissioning editor,0,137,70,38,0,33.2,0.17,0
472,Iolanda Ortese,LMBDLA85S01F991Q,22,"Surveyor, building",0,119,66,27,0,38.8,0.259,0
473,Graziella Raimondi,BRRVNL83H09H810J,50,Event organiser,7,136,90,0,0,29.9,0.21,0
474,Dott. Serafina Pedrazzini,BNMPNI86M13F489M,24,"Chemist, analytical",4,114,64,0,0,28.9,0.126,0
475,Germana Argurio,GTTMRN47B26D179P,59,Records manager,0,137,84,27,0,27.3,0.231,0
476,Licia Grifeo,MJWRMR29P63L713L,29,"Therapist, horticultural",2,105,80,45,191,33.7,0.711,1
477,Nina Cafarchia-Bernini,TDSRNL15D10G579I,31,Accommodation manager,7,114,76,17,110,23.8,0.466,0
478,Dott. Gloria Bianchini,TRRGCB15M68F395D,39,Mudlogger,8,126,74,38,75,25.9,0.162,0
479,Elisa Speri,LTTLDI20P27F452K,63,Horticultural consultant,4,132,86,31,0,28.0,0.419,0
480,Nedda Sonnino,SCRMLD31E10G826Y,35,"Scientist, research (medical)",3,158,70,30,328,35.5,0.344,1
481,Eliana Polizzi-Sraffa,GNTMRN58H16B216V,29,Plant breeder/geneticist,0,123,88,37,0,35.2,0.197,0
482,Paola Veltroni,FLNMLD43P28E078A,28,Charity officer,4,85,58,22,49,27.8,0.306,0
483,Victoria Veneziano,RMNGML57D58H202N,23,Fashion designer,0,84,82,31,125,38.2,0.233,0
484,Carolina Malpighi,MNGLRA15E07H014K,31,"Scientist, research (physical sciences)",0,145,0,0,0,44.2,0.63,1
485,Chiara Bignardi,CRLVRN04S28I878D,24,Minerals surveyor,0,135,68,42,250,42.3,0.365,1
486,Annalisa Monduzzi,CRNMRA36D48C509L,21,"Psychotherapist, dance movement",1,139,62,41,480,40.7,0.536,0
